network_type,canonical_name,dominant_plotline,plotline_count,episode_count,betweenness_full,weighted_degree_full,betweenness_removed,weighted_degree_removed,betweenness_change,community_full,community_removed,community_shifted,cross_scale_community_shift,betweenness_norm,plotline_norm,bridge_score
coarse,William Slothrop,slothrop_zone_quest,3,4,0.0,1.0190983679093817,0.00012303149606299212,1.398450075606068,0.00012303149606299212,1,1,False,False,0.0,0.3333333333333333,0.09999999999999999
coarse,Edwin Treacle,counterforce_science_london,2,5,0.0015746124031007,1.9966464451393204,0.0017224409448818897,1.9902103989007491,0.0001478285417811898,2,2,False,False,0.006539235412474538,0.2222222222222222,0.06960932260228021
coarse,Dr. Rollo Groast,counterforce_science_london,2,6,0.000968992248062,1.8701691798576296,0.000984251968503937,1.8602207780592661,1.5259720441937008e-05,2,2,False,False,0.004024144869215228,0.2222222222222222,0.06847753185781352
coarse,Penelope,slothrop_london_transition,2,2,8.074935400516795e-05,0.8731884057971014,8.202099737532808e-05,0.8835341365461847,1.2716433701601344e-06,2,2,False,False,0.000335345405767941,0.2222222222222222,0.06681757209926224
coarse,Géza Rózsavölgyi,late_zone_afterlives,2,5,0.0,1.9541795148525027,0.0,2.015015617869618,0.0,2,2,False,False,0.0,0.2222222222222222,0.06666666666666667
coarse,Thomas Gwenhidwy,counterforce_science_london,2,5,0.0,1.6231984523369096,0.0,1.5996960253676673,0.0,2,2,False,False,0.0,0.2222222222222222,0.06666666666666667
coarse,Milton Gloaming,late_zone_afterlives,2,4,0.0,1.327741702741703,0.0,1.3022832885460958,0.0,2,2,False,False,0.0,0.2222222222222222,0.06666666666666667
coarse,Myron Grunton,counterforce_science_london,2,5,0.0,1.3109409923249429,0.0,1.2771128067742614,0.0,2,2,False,False,0.0,0.2222222222222222,0.06666666666666667
coarse,Dr. Aaron Throwster,counterforce_science_london,2,4,0.0,1.0502712206739562,0.0,1.0247130508449163,0.0,2,2,False,False,0.0,0.2222222222222222,0.06666666666666667
coarse,Dr. Porkyevitch,slothrop_london_transition,2,3,0.0,0.6273538204690169,0.0,0.7769057649027642,0.0,2,2,False,False,0.0,0.2222222222222222,0.06666666666666667
coarse,Mitchell Prettyplace,counterforce_science_london,2,2,0.0,0.4841897233201581,0.0,0.49780941949616647,0.0,2,2,False,False,0.0,0.2222222222222222,0.06666666666666667
coarse,Allen Lamplighter,counterforce_science_london,1,3,0.0001211240310077,1.1730882352941177,0.00012303149606299212,1.1590217391304347,1.9074650552921213e-06,2,2,False,False,0.0005030181086516959,0.1111111111111111,0.033559691482226595
coarse,Dr. Kevin Spectro,counterforce_science_london,1,4,0.0,1.695092879256966,0.0,1.5765851082555888,0.0,2,2,False,False,0.0,0.1111111111111111,0.03333333333333333
coarse,Reverend Paul de la Nuit,counterforce_science_london,1,3,0.0,0.9004787234042553,0.0,0.8895930232558139,0.0,2,2,False,False,0.0,0.1111111111111111,0.03333333333333333
coarse,Drohne,anubis_bad_karma_detour,1,1,0.0,0.6829268292682927,0.0,0.6749999999999999,0.0,3,3,False,False,0.0,0.1111111111111111,0.03333333333333333
coarse,Claire,slothrop_london_transition,1,1,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,2,2,False,False,0.0,0.1111111111111111,0.03333333333333333
coarse,Mrs. Elizabeth Slothrop,slothrop_london_transition,1,2,0.0,0.6437908496732025,0.0,0.7478632478632479,0.0,2,2,False,False,0.0,0.1111111111111111,0.03333333333333333
coarse,Dromond,counterforce_science_london,1,2,0.0,0.6105882352941177,0.0,0.5965217391304348,0.0,2,2,False,False,0.0,0.1111111111111111,0.03333333333333333
coarse,Dennis Joint,counterforce_science_london,1,1,0.0,0.6086956521739131,0.0,0.6024096385542169,0.0,2,2,False,False,0.0,0.1111111111111111,0.03333333333333333
fine,Ned Pointsman,counterforce_science_london,8,20,0.314922480620155,776.4893333333332,0.2956446850393701,709.9373333333332,-0.019277795580784907,2,1,True,False,1.0,0.8888888888888888,0.8666666666666667
fine,Franz Pökler,rocket_system_backstory,5,9,0.1727228682170542,447.7026666666667,0.08809055118110236,396.874,-0.08463231703595185,3,2,True,True,0.5484615384615383,0.5555555555555556,0.6634743589743589
fine,Laszlo Jamf,rocket_system_backstory,9,22,0.0,251.32266666666663,0.07578740157480315,176.09533333333334,0.07578740157480315,3,1,True,True,0.0,1.0,0.5499999999999999
fine,Weissmann / Blicero,rocket_system_backstory,8,22,0.0889050387596899,608.9093333333333,0.4638287401574803,589.3666666666667,0.3749237013977904,3,2,True,False,0.28230769230769226,0.8888888888888888,0.5437051282051282
fine,Roger Mexico,counterforce_science_london,5,18,0.143531976744186,1019.8133333333332,0.3027805118110236,972.8766666666664,0.15924853506683762,2,1,True,False,0.4557692307692307,0.5555555555555556,0.5217628205128205
fine,Katje Borgesius,slothrop_london_transition,8,19,0.0006056201550387,431.8126666666666,0.3544537401574803,288.6433333333333,0.35384812000244165,2,5,True,True,0.001923076923076734,0.8888888888888888,0.5175320512820512
fine,Gerhardt von Göll,slothrop_zone_quest,8,20,0.0609253875968992,801.7519999999998,0.203248031496063,483.1286666666667,0.1423226438991638,1,3,True,False,0.1934615384615384,0.8888888888888888,0.503724358974359
fine,Enzian,schwarzkommando_zone_line,6,23,0.095687984496124,421.2653333333334,0.3414124015748031,352.50266666666664,0.24572441707867912,3,4,True,False,0.3038461538461538,0.6666666666666666,0.4867307692307692
fine,Leni Pökler,rocket_system_backstory,4,5,0.0621366279069767,214.036,0.06668307086614172,213.15200000000002,0.004546442959165023,3,2,True,True,0.1973076923076922,0.4444444444444444,0.47212179487179484
fine,Pirate Prentice,late_zone_afterlives,7,18,0.0598352713178294,384.74533333333335,0.265255905511811,372.05533333333335,0.2054206341939816,2,5,True,False,0.18999999999999984,0.7777777777777778,0.4688333333333332
fine,Peter Sachsa,slothrop_london_transition,6,8,0.0060562015503875,143.58800000000002,0.02140748031496063,139.036,0.01535127876457313,4,6,True,True,0.019230769230768927,0.6666666666666666,0.45865384615384597
fine,Tchitcherine,tchitcherine_zone_line,4,18,0.0457848837209302,534.2946666666667,0.28789370078740156,358.70599999999996,0.24210881706647136,1,4,True,True,0.1453846153846153,0.4444444444444444,0.4487564102564102
fine,Marvy,slothrop_zone_quest,4,12,0.0456637596899224,347.0486666666667,0.05327263779527559,218.87733333333333,0.007608878105353191,1,4,True,True,0.14499999999999977,0.4444444444444444,0.4485833333333332
fine,Krupp,late_zone_afterlives,5,7,0.0,39.68066666666667,0.0,39.09866666666667,0.0,2,1,True,True,0.0,0.5555555555555556,0.41666666666666663
fine,Geli Tripping,slothrop_zone_quest,4,8,0.0,250.91666666666677,0.014517716535433071,129.586,0.014517716535433071,1,4,True,True,0.0,0.4444444444444444,0.3833333333333333
fine,Osbie Feel,rocket_system_backstory,4,5,0.0,116.622,0.0,116.62199999999999,0.0,2,5,True,True,0.0,0.4444444444444444,0.3833333333333333
fine,Lyle Bland,late_zone_afterlives,3,7,0.0153827519379844,138.50733333333332,0.02952755905511811,98.09866666666666,0.01414480711713371,3,7,True,True,0.048846153846153546,0.3333333333333333,0.37198076923076906
fine,Darlene,slothrop_london_transition,3,4,0.0153827519379844,85.06866666666666,0.04490649606299212,51.31133333333332,0.029523744125007724,5,8,True,True,0.048846153846153546,0.3333333333333333,0.37198076923076906
fine,Teddy Bloat,slothrop_london_transition,3,9,0.0844234496124031,356.33399999999995,0.08870570866141732,203.13333333333338,0.00428225904901422,1,5,True,False,0.2680769230769231,0.3333333333333333,0.3706346153846154
fine,Carroll Eventyr,counterforce_science_london,3,6,0.0046027131782945,150.41200000000003,0.019315944881889764,148.32533333333336,0.014713231703595264,4,6,True,True,0.014615384615384384,0.3333333333333333,0.3565769230769229
fine,Thanatz,rocket_endgame,6,12,0.002906976744186,172.38466666666665,0.03580216535433071,143.27866666666665,0.032895188610144704,3,2,True,False,0.009230769230769084,0.6666666666666666,0.35415384615384604
fine,Kurt Mondaugen,rocket_system_backstory,3,5,0.0,113.69533333333334,0.0,110.31066666666666,0.0,3,2,True,True,0.0,0.3333333333333333,0.35
fine,Nora Dodson-Truck,slothrop_london_transition,3,3,0.0,84.896,0.0,74.97866666666667,0.0,4,6,True,True,0.0,0.3333333333333333,0.35
fine,Ludwig,slothrop_zone_quest,3,6,0.0,60.48533333333333,0.0,32.038,0.0,1,4,True,True,0.0,0.3333333333333333,0.35
fine,Roland,counterforce_science_london,3,4,0.0,48.636,0.01513287401574803,31.018,0.01513287401574803,4,6,True,True,0.0,0.3333333333333333,0.35
fine,Vaslav,tchitcherine_zone_line,3,3,0.0,28.106666666666666,0.0,24.20133333333333,0.0,1,4,True,True,0.0,0.3333333333333333,0.35
fine,Quoad,slothrop_london_transition,2,2,0.0153827519379844,71.83133333333333,0.01513287401574803,45.12333333333332,-0.00024987792223636965,5,8,True,True,0.048846153846153546,0.2222222222222222,0.33864743589743573
fine,Charles,rocket_system_backstory,2,2,0.0153827519379844,10.408666666666669,0.01513287401574803,9.805333333333333,-0.00024987792223636965,9,5,True,True,0.048846153846153546,0.2222222222222222,0.33864743589743573
fine,Seaman Bodine,late_zone_afterlives,4,9,0.0305232558139534,330.7119999999999,0.10346948818897637,181.9346666666667,0.07294623237502297,1,3,True,False,0.09692307692307665,0.4444444444444444,0.3269487179487178
fine,Greta Erdmann,anubis_bad_karma_detour,5,12,0.0,157.08066666666664,0.0004921259842519685,99.42133333333334,0.0004921259842519685,1,2,True,False,0.0,0.5555555555555556,0.31666666666666665
fine,Ilse Pökler,rocket_system_backstory,2,3,0.0,149.93133333333333,0.0,143.89666666666665,0.0,3,2,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Max Schlepzig,slothrop_zone_quest,5,11,0.0,108.776,0.00036909448818897637,65.652,0.00036909448818897637,1,2,True,False,0.0,0.5555555555555556,0.31666666666666665
fine,Andreas Orukambe,schwarzkommando_zone_line,5,8,0.0,96.256,0.0,79.82066666666668,0.0,3,4,True,False,0.0,0.5555555555555556,0.31666666666666665
fine,Chiclitz,slothrop_zone_quest,2,3,0.0,87.03933333333333,0.0,65.28333333333333,0.0,1,4,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Sammy Hilbert-Spaess,slothrop_london_transition,2,2,0.0,59.32333333333334,0.0,58.86000000000001,0.0,4,6,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Alfonso Tracy,late_zone_afterlives,2,2,0.0,40.13600000000001,0.0,37.75800000000001,0.0,3,7,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Sir Marcus Scammony,tchitcherine_zone_line,2,2,0.0,28.657333333333334,0.0,27.258,0.0,2,1,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Andre Omnopon,late_zone_afterlives,2,2,0.0,25.666,0.0,24.999333333333336,0.0,1,3,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Frans van der Groov,late_zone_afterlives,2,3,0.0,14.528666666666666,0.0,12.621333333333332,0.0,2,5,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Generaldirektor Smaragd,rocket_system_backstory,2,2,0.0,14.092,0.0,13.646666666666667,0.0,3,2,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Steve Edelman,rocket_endgame,2,2,0.0,7.751999999999999,0.0,7.751999999999999,0.0,8,10,True,True,0.0,0.2222222222222222,0.31666666666666665
fine,Margherita Erdmann,anubis_bad_karma_detour,4,10,0.0153827519379844,190.38466666666676,0.0172244094488189,107.77733333333335,0.001841657510834498,1,2,True,False,0.048846153846153546,0.4444444444444444,0.3053141025641024
fine,Horst Achtfaden,rocket_system_backstory,4,5,0.0153827519379844,45.114,0.01513287401574803,41.87266666666667,-0.00024987792223636965,3,4,True,False,0.048846153846153546,0.4444444444444444,0.3053141025641024
fine,Whappo,slothrop_london_transition,1,2,0.0153827519379844,23.169999999999995,0.0,20.20533333333333,-0.0153827519379844,7,9,True,True,0.048846153846153546,0.1111111111111111,0.3053141025641024
